kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,map_image,kecamatan_clean,kecamatan_key_banjir,kode_kec_spatial,nama_prop,nama_kab,nama_kec,jumlah_penduduk,kepadatan_penduduk,jumlah_kk,luas_wilayah,pertumbuhan_2022,pertumbuhan_2021,pertumbuhan_2020,perpindahan_pddk,jumlah_desa,jumlah_kelurahan,perdagangan,nelayan,wiraswasta,tidak_blm_sekolah,slta,s1,kecamatan_key_kecamatan
bogor,dramaga,67.843,134.064,30.86,248.285,Tree cover,0.541,1.71,39.654,2020,1,0,-6.5888,106.7298,RGB_BabakanMadang2020.tif,dramaga,dramaga,320130.0,JAWA BARAT,BOGOR,DRAMAGA,113555.0,37.63547964,36406.0,25.94,2.0,2.0,2.0,225.0,10.0,,182.0,2.0,5537.0,29064.0,18159.0,2834.0,dramaga
bogor,gunungputri,61.733,98.643,36.48,81.462,Built-up,0.354,0.389,40.561,2020,1,1,-6.4052,106.9313,RGB_BabakanMadang2020.tif,gunungputri,gunungputri,320102.0,JAWA BARAT,BOGOR,GUNUNG PUTRI,294195.0,97.6877295,95563.0,62.31,1.0,1.0,2.0,871.0,10.0,,104.0,3.0,17740.0,67433.0,81244.0,20644.0,gunungputri
bogor,gunungsindur,64.373,108.875,29.44,72.997,Tree cover,0.418,0.372,40.893,2020,1,0,-6.3871,106.6872,RGB_BabakanMadang2020.tif,gunungsindur,gunungsindur,320111.0,JAWA BARAT,BOGOR,GUNUNG SINDUR,121333.0,39.97321994,38729.0,49.56,1.0,2.0,2.0,196.0,10.0,,51.0,,12521.0,25071.0,27877.0,4725.0,gunungsindur
bogor,jasinga,60.105,99.303,29.26,163.412,Tree cover,0.528,1.993,38.958,2020,1,1,-6.4806,106.4559,RGB_BabakanMadang2020.tif,jasinga,jasinga,320119.0,JAWA BARAT,BOGOR,JASINGA,112356.0,37.22635837,34869.0,139.8,2.0,2.0,2.0,206.0,16.0,,286.0,4.0,4691.0,26099.0,17215.0,1227.0,jasinga
bogor,jonggol,63.913,105.244,30.33,186.743,Tree cover,0.616,2.153,38.119,2020,1,0,-6.4961,107.0456,RGB_BabakanMadang2020.tif,jonggol,jonggol,320106.0,JAWA BARAT,BOGOR,JONGGOL,147880.0,48.70715675,50817.0,136.25,1.0,2.0,2.0,327.0,14.0,,59.0,2.0,16924.0,34418.0,28753.0,4841.0,jonggol
bogor,klapanunggal,60.879,103.79,31.14,203.856,Tree cover,0.561,3.061,40.161,2020,1,0,-6.483,106.9553,RGB_BabakanMadang2020.tif,klapanunggal,klapanunggal,320132.0,JAWA BARAT,BOGOR,KLAPANUNGGAL,129835.0,42.59306673,41215.0,96.49,2.0,2.0,2.0,212.0,9.0,,184.0,2.0,5849.0,33422.0,24636.0,2415.0,klapanunggal
bogor,kemang,73.8,143.693,30.94,143.048,Tree cover,0.59,0.625,40.298,2020,1,0,-6.5025,106.7345,RGB_BabakanMadang2020.tif,kemang,kemang,320112.0,JAWA BARAT,BOGOR,KEMANG,110256.0,36.35797843,35580.0,34.11,2.0,2.0,2.0,243.0,8.0,1.0,27.0,2.0,6812.0,23670.0,28280.0,3849.0,kemang
bogor,leuwiliang,56.389,108.67,27.77,556.464,Tree cover,0.497,3.837,39.658,2020,1,0,-6.6402,106.6099,RGB_BabakanMadang2020.tif,leuwiliang,leuwiliang,320114.0,JAWA BARAT,BOGOR,LEUWILIANG,133441.0,43.97151126,41195.0,95.14,1.0,2.0,2.0,288.0,11.0,,112.0,,15508.0,22995.0,20896.0,2500.0,leuwiliang
bogor,leuwisadeng,60.978,118.724,29.3,306.672,Tree cover,0.575,4.096,39.658,2020,1,0,-6.5736,106.5877,RGB_BabakanMadang2020.tif,leuwisadeng,leuwisadeng,320139.0,JAWA BARAT,BOGOR,LEUWISADENG,82804.0,27.32455416,25864.0,34.6,1.0,2.0,2.0,219.0,8.0,,292.0,,6975.0,24649.0,8285.0,792.0,leuwisadeng
bogor,megamendung,62.553,112.791,30.14,877.32,Tree cover,0.479,5.463,39.583,2020,1,0,-6.6635,106.9177,RGB_Megamendung2020.tif,megamendung,megamendung,320126.0,JAWA BARAT,BOGOR,MEGAMENDUNG,113756.0,37.69096504,35610.0,61.54,2.0,2.0,2.0,281.0,12.0,,149.0,1.0,10259.0,21600.0,19601.0,1576.0,megamendung
bogor,nanggung,53.716,106.36,24.89,848.241,Tree cover,0.428,5.957,39.633,2020,1,0,-6.6725,106.5377,RGB_BabakanMadang2020.tif,nanggung,nanggung,320121.0,JAWA BARAT,BOGOR,NANGGUNG,100914.0,33.35407908,32508.0,159.1,2.0,2.0,2.0,243.0,11.0,,119.0,,14271.0,24092.0,7564.0,804.0,nanggung
bogor,pamijahan,51.12,94.199,27.53,827.34,Tree cover,0.475,5.169,39.655,2020,1,0,-6.6933,106.6596,RGB_BabakanMadang2020.tif,pamijahan,pamijahan,320117.0,JAWA BARAT,BOGOR,PAMIJAHAN,166309.0,54.70158548,51493.0,126.41,2.0,2.0,2.0,258.0,15.0,,450.0,3.0,15077.0,38045.0,23197.0,1911.0,pamijahan
bogor,parung,69.557,127.561,29.44,104.116,Tree cover,0.47,0.338,40.893,2020,1,0,-6.4349,106.7128,RGB_Parung2020.tif,parung,parung,320110.0,JAWA BARAT,BOGOR,PARUNG,128905.0,42.57067202,41953.0,27.7,1.0,2.0,2.0,357.0,9.0,,1799.0,2.0,14800.0,23594.0,41070.0,3836.0,parung
bogor,parungpanjang,63.059,103.887,29.91,65.388,Tree cover,0.436,0.569,40.893,2020,1,1,-6.3768,106.5551,RGB_BabakanMadang2020.tif,parungpanjang,parungpanjang,320120.0,JAWA BARAT,BOGOR,PARUNG PANJANG,125437.0,41.42687058,38729.0,71.78,1.0,2.0,2.0,274.0,11.0,,144.0,4.0,6800.0,44366.0,16869.0,2851.0,parungpanjang
bogor,rancabungur,74.872,147.858,30.18,144.929,Tree cover,0.654,0.575,39.778,2020,1,0,-6.5217,106.7137,RGB_RancaBungur2020.tif,rancabungur,rancabungur,320134.0,JAWA BARAT,BOGOR,RANCA BUNGUR,63856.0,21.05838067,20446.0,23.09,2.0,2.0,2.0,131.0,7.0,,80.0,,2911.0,11963.0,12478.0,1172.0,rancabungur
bogor,rumpin,62.989,112.146,27.0,152.23,Tree cover,0.514,1.981,40.54,2020,1,1,-6.4596,106.6311,RGB_BabakanMadang2020.tif,rumpin,rumpin,320118.0,JAWA BARAT,BOGOR,RUMPIN,156896.0,51.51451745,48162.0,140.91,2.0,2.0,2.0,428.0,14.0,,148.0,1.0,14932.0,67813.0,12589.0,1361.0,rumpin
bogor,sukajaya,56.527,110.594,25.13,847.126,Tree cover,0.382,5.604,39.551,2020,1,1,-6.6313,106.4705,RGB_BabakanMadang2020.tif,sukajaya,sukajaya,320135.0,JAWA BARAT,BOGOR,SUKAJAYA,71814.0,23.57126765,22637.0,168.23,2.0,2.0,2.0,107.0,11.0,,117.0,1.0,8308.0,19403.0,2235.0,325.0,sukajaya
bogor,sukamakmur,63.401,115.803,28.36,641.209,Tree cover,0.588,5.807,39.61,2020,1,0,-6.5936,107.0201,RGB_BabakanMadang2020.tif,sukamakmur,sukamakmur,320109.0,JAWA BARAT,BOGOR,SUKAMAKMUR,92167.0,30.12021614,29171.0,181.63,2.0,2.0,2.0,329.0,10.0,,103.0,1.0,10397.0,24017.0,3666.0,454.0,sukamakmur
bogor,sukaraja,63.274,121.17,29.54,276.337,Tree cover,0.523,1.706,39.583,2020,1,1,-6.5792,106.8408,RGB_Sukaraja2020(2).tif,sukaraja,sukaraja,320104.0,JAWA BARAT,BOGOR,SUKARAJA,202415.0,66.95784246,64648.0,43.41,1.0,2.0,2.0,541.0,13.0,,137.0,7.0,13711.0,47277.0,50423.0,9170.0,sukaraja
bogor,tajurhalang,69.737,131.96,31.37,128.261,Tree cover,0.532,0.34,40.637,2020,1,0,-6.469,106.7596,RGB_BabakanMadang2020.tif,tajurhalang,tajurhalang,320137.0,JAWA BARAT,BOGOR,TAJURHALANG,126087.0,41.4683175,40336.0,30.98,1.0,2.0,2.0,287.0,7.0,,8.0,,14048.0,22133.0,40319.0,6404.0,tajurhalang
bogor,tamansari,57.57,108.486,28.63,715.585,Tree cover,0.486,6.987,39.625,2020,1,0,-6.6564,106.7458,RGB_Tamansari2020(1).tif,tamansari,tamansari,317303.0,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,126736.0,1022.464,44377.0,4.61,1.0,1.0,1.0,456.0,,8.0,46.0,4.0,8160.0,17568.0,50764.0,11271.0,tamansari
bogor,tanjungsari,60.344,106.261,29.1,362.528,Tree cover,0.659,5.549,39.625,2020,1,0,-6.6115,107.1406,RGB_BabakanMadang2020.tif,tanjungsari,tanjungsari,321111.0,JAWA BARAT,SUMEDANG,TANJUNGSARI,88521.0,56.08400949,30682.0,44.12,1.0,2.0,2.0,308.0,12.0,,336.0,,12378.0,15643.0,21484.0,4184.0,tanjungsari
bogor,tenjo,61.851,104.41,28.99,60.385,Tree cover,0.497,0.368,39.091,2020,1,0,-6.3723,106.4794,RGB_BabakanMadang2020.tif,tenjo,tenjo,320123.0,JAWA BARAT,BOGOR,TENJO,78576.0,25.93608216,23887.0,83.03,1.0,2.0,2.0,134.0,9.0,,221.0,,6444.0,24872.0,7258.0,438.0,tenjo
bogor,tenjolaya,56.293,105.871,28.58,736.012,Tree cover,0.503,6.928,39.658,2020,1,0,-6.6537,106.708,RGB_BabakanMadang2020.tif,tenjolaya,tenjolaya,320140.0,JAWA BARAT,BOGOR,TENJOLAYA,68536.0,22.65141331,22089.0,37.25,2.0,2.0,2.0,140.0,7.0,,116.0,,5585.0,15944.0,9025.0,770.0,tenjolaya
kota bogor,bogorbarat,66.278,124.853,30.54,207.937,Built-up,0.354,0.658,39.594,2020,1,0,-6.5732,106.7655,RGB_BogorBarat2020.tif,bogorbarat,bogorbarat,327104.0,JAWA BARAT,KOTA BOGOR,BOGOR BARAT,254629.0,2280.49853636,81612.0,23.08,1.0,2.0,2.0,950.0,,16.0,145.0,1.0,9040.0,40939.0,87819.0,24518.0,bogorbarat
kota bogor,bogorselatan,59.53,107.933,30.87,368.391,Tree cover,0.472,1.807,39.583,2020,1,0,-6.6447,106.8135,RGB_BogorSelatan2020.tif,bogorselatan,bogorselatan,327101.0,JAWA BARAT,KOTA BOGOR,BOGOR SELATAN,219309.0,1961.22694539,68104.0,31.16,2.0,2.0,2.0,724.0,,16.0,367.0,1.0,9593.0,37162.0,67439.0,12102.0,bogorselatan
kota bogor,bogortengah,63.374,117.577,30.23,250.378,Built-up,0.256,0.88,39.583,2020,1,0,-6.5932,106.7986,RGB_BogorTengah2020.tif,bogortengah,bogortengah,327103.0,JAWA BARAT,KOTA BOGOR,BOGOR TENGAH,109057.0,987.37496184,36412.0,8.11,1.0,2.0,2.0,482.0,,11.0,167.0,1.0,5124.0,15907.0,41553.0,9284.0,bogortengah
kota bogor,bogortimur,60.215,111.507,35.22,322.856,Built-up,0.358,1.429,39.583,2020,1,0,-6.6207,106.8264,RGB_BogorTimur2020.tif,bogortimur,bogortimur,327102.0,JAWA BARAT,KOTA BOGOR,BOGOR TIMUR,108919.0,975.45929637,34742.0,10.75,1.0,2.0,2.0,482.0,,6.0,119.0,1.0,4731.0,18198.0,34335.0,10206.0,bogortimur
kota bogor,bogorutara,61.007,113.567,25.22,209.387,Built-up,0.405,0.831,39.583,2020,1,0,-6.5708,106.8196,RGB_BogorUtara2020.tif,bogorutara,bogorutara,327105.0,JAWA BARAT,KOTA BOGOR,BOGOR UTARA,204454.0,1815.1590252,65584.0,18.88,2.0,2.0,2.0,899.0,,8.0,211.0,,8644.0,34479.0,68981.0,20346.0,bogorutara
kota bogor,tanahsareal,68.492,131.751,29.29,184.459,Built-up,0.369,0.639,39.583,2020,1,0,-6.5468,106.7855,RGB_BogorBarat2020.tif,tanahsareal,tanahsareal,327106.0,JAWA BARAT,KOTA BOGOR,TANAH SAREAL,231040.0,2062.10153907,72325.0,21.25,1.0,2.0,2.0,725.0,,11.0,403.0,1.0,11406.0,39918.0,71378.0,21778.0,tanahsareal
kota tangerang,batuceper,69.069,125.868,39.23,10.341,Built-up,0.211,0.068,37.386,2020,1,0,-6.1618,106.6703,RGB_Batuceper2020.tif,batuceper,batuceper,367103.0,BANTEN,KOTA TANGERANG,BATUCEPER,95474.0,533.35912575,30806.0,8.63,1.0,2.0,2.0,293.0,,7.0,41.0,1.0,5284.0,17212.0,33763.0,5950.0,batuceper
kota tangerang,benda,68.23,122.586,39.23,8.372,Built-up,0.252,0.098,37.386,2020,1,0,-6.13,106.6657,RGB_Benda2020.tif,benda,benda,367104.0,BANTEN,KOTA TANGERANG,BENDA,85769.0,477.37276209,27043.0,28.61,2.0,2.0,2.0,241.0,,5.0,39.0,,3879.0,16476.0,26734.0,3837.0,benda
kota tangerang,cibodas,63.479,116.679,39.23,19.751,Built-up,0.138,0.128,37.386,2020,1,0,-6.2058,106.608,RGB_Cibodas2020.tif,cibodas,cibodas,367109.0,BANTEN,KOTA TANGERANG,CIBODAS,158036.0,883.8724509,51829.0,9.08,1.0,2.0,2.0,569.0,,6.0,110.0,,11397.0,28889.0,61087.0,15002.0,cibodas
kota tangerang,ciledug,64.651,106.967,39.23,21.279,Built-up,0.24,0.132,37.445,2020,1,0,-6.2386,106.7059,RGB_Ciledug2020(1).tif,ciledug,ciledug,367106.0,BANTEN,KOTA TANGERANG,CILEDUG,150190.0,833.61088216,48009.0,9.05,1.0,1.0,2.0,457.0,,8.0,66.0,,11629.0,25792.0,62997.0,15670.0,ciledug
kota tangerang,cipondoh,68.831,124.504,39.23,11.897,Built-up,0.23,0.115,37.386,2020,1,1,-6.1862,106.683,RGB_Cipondoh2020.tif,cipondoh,cipondoh,367105.0,BANTEN,KOTA TANGERANG,CIPONDOH,231127.0,1278.84965825,72973.0,17.72,1.0,2.0,2.0,599.0,,10.0,162.0,4.0,20734.0,43560.0,83058.0,21645.0,cipondoh
kota tangerang,jatiuwung,64.4,119.888,39.23,20.101,Built-up,0.159,0.172,37.386,2020,1,0,-6.198,106.5753,RGB_Jatiuwung2020.tif,jatiuwung,jatiuwung,367102.0,BANTEN,KOTA TANGERANG,JATIUWUNG,107510.0,603.40235608,35525.0,14.55,2.0,2.0,2.0,543.0,,6.0,56.0,3.0,4847.0,22846.0,40789.0,3200.0,jatiuwung
kota tangerang,karangtengah,65.308,108.912,39.23,13.076,Built-up,0.241,0.156,37.386,2020,1,1,-6.2101,106.7097,RGB_KarangTengah2020(1).tif,karangtengah,karangtengah,320307.0,JAWA BARAT,CIANJUR,KARANGTENGAH,167556.0,45.97271687,55148.0,48.68,2.0,2.0,2.0,437.0,16.0,,496.0,6.0,22435.0,39589.0,33439.0,7101.0,karangtengah
kota tangerang,karawaci,68.189,122.945,39.23,16.788,Built-up,0.181,0.102,37.386,2020,1,0,-6.1812,106.618,RGB_Karawaci2020.tif,karawaci,karawaci,367107.0,BANTEN,KOTA TANGERANG,KARAWACI,193480.0,1081.92456279,63883.0,13.32,1.0,2.0,2.0,713.0,,16.0,159.0,6.0,13448.0,38944.0,71481.0,14568.0,karawaci
kota tangerang,larangan,65.388,108.435,39.23,21.351,Built-up,0.213,0.155,37.389,2020,1,0,-6.2392,106.733,RGB_Larangan2020(2).tif,larangan,larangan,332915.0,JAWA TENGAH,BREBES,LARANGAN,163375.0,93.64130341,57142.0,161.88,1.0,2.0,2.0,271.0,11.0,,564.0,45.0,46205.0,39312.0,17155.0,2347.0,larangan
kota tangerang,neglasari,68.355,124.341,39.23,11.542,Built-up,0.29,0.072,37.386,2020,1,0,-6.1429,106.6302,RGB_Neglasari2020.tif,neglasari,neglasari,367110.0,BANTEN,KOTA TANGERANG,NEGLASARI,124907.0,694.66265202,40008.0,14.98,2.0,2.0,2.0,401.0,,7.0,80.0,4.0,5313.0,27681.0,34346.0,4535.0,neglasari
kota tangerang,periuk,65.916,121.45,39.23,12.531,Built-up,0.222,0.129,37.386,2020,1,0,-6.1675,106.5943,RGB_Periuk2020.tif,periuk,periuk,367108.0,BANTEN,KOTA TANGERANG,PERIUK,144640.0,807.30822498,46407.0,11.61,2.0,2.0,2.0,485.0,,5.0,37.0,4.0,9471.0,26336.0,61762.0,9483.0,periuk
kota tangerang,pinang,63.445,106.659,39.23,19.041,Built-up,0.285,0.132,37.386,2020,1,0,-6.2153,106.6662,RGB_Pinang2020.tif,pinang,pinang,367111.0,BANTEN,KOTA TANGERANG,PINANG,186671.0,1036.10938227,59610.0,21.89,1.0,2.0,2.0,612.0,,11.0,95.0,,15452.0,36808.0,68119.0,17226.0,pinang
kota tangerang,tangerang,66.82,121.068,39.23,17.193,Built-up,0.194,0.112,37.386,2020,1,0,-6.1888,106.6406,RGB_Tangerang2020.tif,tangerang,tangerang,367101.0,BANTEN,KOTA TANGERANG,TANGERANG,165575.0,922.17418852,53755.0,15.65,1.0,2.0,2.0,476.0,,8.0,70.0,3.0,13766.0,30761.0,58997.0,15687.0,tangerang
tangerang selatan,ciputat,60.294,91.189,36.2,44.431,Built-up,0.325,0.212,40.842,2020,1,1,-6.3082,106.7277,RGB_Ciputat2020.tif,ciputat,ciputat,367404.0,BANTEN,KOTA TANGERANG SELATAN,CIPUTAT,224048.0,1347.72534272,70464.0,21.35,1.0,2.0,2.0,534.0,,7.0,129.0,13.0,20886.0,47739.0,72210.0,25198.0,ciputat
tangerang selatan,ciputattimur,62.359,97.429,36.2,41.355,Built-up,0.256,0.245,40.639,2020,1,1,-6.2988,106.7556,RGB_CiputatTimur2020.tif,ciputattimur,ciputattimur,367405.0,BANTEN,KOTA TANGERANG SELATAN,CIPUTAT TIMUR,170001.0,1028.47870921,55434.0,18.17,1.0,1.0,2.0,626.0,,6.0,87.0,11.0,14192.0,32966.0,56193.0,23775.0,ciputattimur
tangerang selatan,pamulang,61.733,94.636,36.2,59.039,Built-up,0.314,0.233,40.786,2020,1,1,-6.3395,106.7391,RGB_Pamulang2020.tif,pamulang,pamulang,367406.0,BANTEN,KOTA TANGERANG SELATAN,PAMULANG,326296.0,1965.66177363,102924.0,29.02,1.0,1.0,2.0,675.0,,8.0,498.0,3.0,27506.0,65046.0,105909.0,42594.0,pamulang
tangerang selatan,pondokaren,58.452,91.943,36.2,28.61,Built-up,0.269,0.18,40.541,2020,1,1,-6.2664,106.7114,RGB_PondokAren2020.tif,pondokaren,pondokaren,367403.0,BANTEN,KOTA TANGERANG SELATAN,PONDOK AREN,297400.0,1794.32245542,94724.0,30.34,1.0,1.0,2.0,719.0,,11.0,426.0,3.0,23759.0,59954.0,97484.0,36700.0,pondokaren
tangerang selatan,serpong,61.381,93.971,36.2,42.596,Built-up,0.34,0.214,40.893,2020,1,0,-6.3113,106.6807,RGB_Serpong2020.tif,serpong,serpong,367401.0,BANTEN,KOTA TANGERANG SELATAN,SERPONG,165000.0,991.45335436,52539.0,28.91,1.0,1.0,2.0,350.0,,9.0,239.0,5.0,14152.0,32832.0,43304.0,23909.0,serpong
tangerang selatan,serpongutara,60.591,98.214,36.2,26.59,Built-up,0.254,0.18,39.116,2020,1,0,-6.2536,106.663,RGB_SerpongUtara2020.tif,serpongutara,serpongutara,367402.0,BANTEN,KOTA TANGERANG SELATAN,SERPONG UTARA,139215.0,838.3416232,44694.0,22.37,1.0,1.0,1.0,405.0,,7.0,91.0,,9679.0,26374.0,45609.0,20239.0,serpongutara
tangerang selatan,setu,62.823,98.634,36.2,54.164,Tree cover,0.365,0.359,40.893,2020,1,0,-6.3637,107.0373,RGB_Setu2020(1).tif,setu,setu,321618.0,JAWA BARAT,BEKASI,SETU,165907.0,130.183829,53277.0,60.69,2.0,2.0,2.0,438.0,11.0,,429.0,2.0,16111.0,38343.0,46813.0,5992.0,setu
tangerang,balaraja,67.503,137.503,27.07,20.277,Built-up,0.262,0.173,37.613,2020,1,0,-6.2048,106.4427,RGB_Balaraja_2020.tif,balaraja,balaraja,360301.0,BANTEN,TANGERANG,BALARAJA,124129.0,119.96026298,40273.0,32.39,1.0,2.0,2.0,479.0,8.0,1.0,133.0,7.0,7698.0,29694.0,42729.0,3810.0,balaraja
tangerang,cikupa,65.828,131.398,27.07,25.2,Built-up,0.222,0.147,37.463,2020,1,0,-6.218,106.5159,RGB_Cikupa_2020.tif,cikupa,cikupa,360318.0,BANTEN,TANGERANG,CIKUPA,209140.0,203.0684296,68832.0,45.59,1.0,2.0,2.0,967.0,12.0,2.0,115.0,3.0,10669.0,45089.0,76016.0,6668.0,cikupa
tangerang,cisauk,61.139,99.798,27.07,51.37,Tree cover,0.365,0.313,40.893,2020,1,0,-6.3391,106.6302,RGB_Cisauk_2020.tif,cisauk,cisauk,360323.0,BANTEN,TANGERANG,CISAUK,91438.0,87.52166125,28623.0,29.81,1.0,2.0,2.0,274.0,5.0,1.0,95.0,4.0,5184.0,18918.0,24526.0,6812.0,cisauk
